generated_at,cycle_scope,code,label,short_label,category_code,coverage_level,status,refresh_started_at,refresh_finished_at,snapshot_generated_at,observation_key,source_status_date,institutions,video_links_total,videos_in_curatorial_catalog,error
2026-05-08T18:41:41Z,parcial,ina,Institut national de l'audiovisuel,INA,institution,instituição individual,success,2026-05-08T18:37:06Z,2026-05-08T18:41:41Z,2026-05-08T18:41:39Z,ina:2026-05-08T18:41:39Z,,1,77,77,
2026-05-13T17:39:30Z,parcial,euscreen,EUscreen,EUscreen,aggregator,agregador audiovisual europeu,success,2026-05-13T17:39:21Z,2026-05-13T17:39:30Z,2026-05-13T17:39:28Z,euscreen:2026-05-13T17:39:28Z,,1,132,131,
2026-05-13T17:44:10Z,parcial,euscreen,EUscreen,EUscreen,aggregator,agregador audiovisual europeu,success,2026-05-13T17:44:02Z,2026-05-13T17:44:10Z,2026-05-13T17:44:08Z,euscreen:2026-05-13T17:44:08Z,,1,132,132,
2026-05-14T16:49:47Z,parcial,euscreen,EUscreen,EUscreen,aggregator,agregador audiovisual europeu,success,2026-05-14T16:49:39Z,2026-05-14T16:49:47Z,2026-05-14T16:49:45Z,euscreen:2026-05-14T16:49:45Z,,1,133,133,
2026-05-14T17:55:14Z,parcial,pares,PARES,PARES,aggregator,agregador nacional europeu,success,2026-05-14T17:55:00Z,2026-05-14T17:55:14Z,2026-05-14T17:55:12Z,pares:2026-05-14T17:55:12Z,,1,100,100,
2026-05-18T17:28:46Z,parcial,european-film-gateway,European Film Gateway,EFG,aggregator,agregador audiovisual europeu,success,2026-05-18T17:27:14Z,2026-05-18T17:27:53Z,2026-05-18T17:27:52Z,european-film-gateway:2026-05-18T17:27:52Z,,1,0,0,
2026-05-18T17:28:46Z,parcial,europeana,Europeana,Europeana,aggregator,agregador cultural europeu,success,2026-05-18T17:27:53Z,2026-05-18T17:28:46Z,2026-05-18T17:28:44Z,europeana:2026-05-18T17:28:44Z,,1,27,27,
2026-05-19T17:15:30Z,parcial,portal-portugues-arquivos,Portal Português de Arquivos,PPA,aggregator,agregador nacional europeu,success,2026-05-19T17:15:19Z,2026-05-19T17:15:30Z,2026-05-19T17:15:29Z,portal-portugues-arquivos:2026-05-19T17:15:29Z,,1,110,110,
2026-05-20T16:53:48Z,parcial,aapb,American Archive of Public Broadcasting,AAPB,aggregator,agregador nacional norte-americano,success,2026-05-20T16:53:39Z,2026-05-20T16:53:48Z,2026-05-20T16:53:46Z,aapb:2026-05-20T16:53:46Z,,1,60,60,
2026-05-20T17:07:42Z,parcial,aapb,American Archive of Public Broadcasting,AAPB,aggregator,agregador nacional norte-americano,success,2026-05-20T17:07:33Z,2026-05-20T17:07:42Z,2026-05-20T17:07:40Z,aapb:2026-05-20T17:07:40Z,,1,60,60,
2026-05-22T18:01:12Z,parcial,aapb,American Archive of Public Broadcasting,AAPB,aggregator,agregador nacional norte-americano,success,2026-05-22T18:01:05Z,2026-05-22T18:01:12Z,2026-05-22T18:01:10Z,aapb:2026-05-22T18:01:10Z,,1,36,36,
2026-05-22T18:07:49Z,parcial,aapb,American Archive of Public Broadcasting,AAPB,aggregator,agregador nacional norte-americano,success,2026-05-22T18:07:43Z,2026-05-22T18:07:49Z,2026-05-22T18:07:48Z,aapb:2026-05-22T18:07:48Z,,1,28,28,
2026-05-29T16:53:00Z,parcial,archipop,ARCHIPOP,ARCHIPOP,institution,instituição individual europeia,success,2026-05-29T16:51:54Z,2026-05-29T16:53:00Z,2026-05-29T16:52:58Z,archipop:2026-05-29T16:52:58Z,,1,58,58,
2026-05-29T17:29:13Z,parcial,aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,instituição individual europeia,success,2026-05-29T17:28:58Z,2026-05-29T17:29:13Z,2026-05-29T17:29:11Z,aamod:2026-05-29T17:29:11Z,,1,6,6,
2026-05-29T17:35:37Z,parcial,aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,instituição individual europeia,success,2026-05-29T17:35:21Z,2026-05-29T17:35:37Z,2026-05-29T17:35:36Z,aamod:2026-05-29T17:35:36Z,,1,6,6,
2026-05-29T17:38:22Z,parcial,aamod,Archivio Audiovisivo del movimento operaio e democratico,AAMOD,institution,instituição individual europeia,success,2026-05-29T17:38:06Z,2026-05-29T17:38:22Z,2026-05-29T17:38:20Z,aamod:2026-05-29T17:38:20Z,,1,6,6,
2026-06-08T16:32:01Z,parcial,sfa,Arhiv Republike Slovenije - Slovenski filmski arhiv,SFA,institution,instituição individual europeia,success,2026-06-08T16:31:48Z,2026-06-08T16:32:01Z,2026-06-08T16:31:59Z,sfa:2026-06-08T16:31:59Z,,1,8,8,
2026-06-08T16:55:33Z,parcial,anf,Arhiva Nationala de Filme - Cinemateca Romana,ANF,institution,instituição individual europeia,success,2026-06-08T16:55:12Z,2026-06-08T16:55:33Z,2026-06-08T16:55:31Z,anf:2026-06-08T16:55:31Z,,1,8,8,
2026-06-08T17:08:50Z,parcial,anf,Arhiva Nationala de Filme - Cinemateca Romana,ANF,institution,instituição individual europeia,success,2026-06-08T17:08:30Z,2026-06-08T17:08:50Z,2026-06-08T17:08:48Z,anf:2026-06-08T17:08:48Z,,1,8,8,
